domaine;référentiel;version du référentiel;identifiant de l'exigence;description;applicabilité;justification;composant concerné;table concernée;implémentation;test associé;preuve associée;statut;criticité;responsable;action restante;validation externe nécessaire
traçabilité;Architecture interne;1;TRACE-APPEND;Traçabilité append-only attribuée et horodatée;Applicable;Actions fiscales sensibles;fiscalEventService;fiscal_events;Absent au départ;À créer;COMPLIANCE_GAP_ANALYSIS.md;Non conforme;Critique;Technique;Implémenter chaîne par entreprise;Oui audit
restitution;Droit fiscal et NF 525;À confirmer;Référence officielle à compléter;Restituer période événements documents et contrôles;Applicabilité à confirmer;Contrôle externe;complianceEvidenceService;fiscal_events et fiscal_archives;Bundle ouvert et vérificateur hors application;fiscal-archive-verifier.mjs;ARCHIVE_FORMAT.md;Partiellement conforme;Élevée;Technique;Tester un export réel volumineux et faire valider le périmètre;Oui
sauvegarde;NF 203 et sécurité;Référentiel officiel non fourni;Référence officielle à compléter;Sauvegarder et tester la restauration;Applicable;Continuité de service;procédure exploitation;Toutes;Procédure et critères documentés, état Supabase inconnu;Exercice réel à planifier;BACKUP_AND_RESTORE_CONTROL.md;À valider avec le référentiel officiel;Critique;Exploitation;Configurer et prouver les sauvegardes et la restauration;Oui audit
contrôle d'accès;Sécurité interne et RGPD;1;RBAC-LEAST;Moindre privilège et séparation des rôles;Applicable;SaaS multi-entreprise;RBAC;company_members;Trois rôles génériques au départ;Tests RLS;COMPLIANCE_GAP_ANALYSIS.md;Partiellement conforme;Critique;Sécurité;Créer rôles explicites et permissions;Oui audit
qualité logicielle;NF 203;Référentiel officiel non fourni;Référence officielle à compléter;Processus qualité et produit auditable;Démarche future;Préparation demandée;qualitySystem;N/A;Tests partiels;Matrice de traçabilité;quality/QUALITY_MANAGEMENT_PLAN.md;À valider avec le référentiel officiel;Élevée;Qualité;Mettre en œuvre puis auditer;Oui AFNOR/certificateur
gestion des versions;NF 203 et architecture interne;Référentiel officiel non fourni;VERSION-TRACE;Relier document événement schéma et version logicielle;Applicable;Reproductibilité;versionService;documents;Version document partielle;À créer;EVIDENCE_INDEX.md;Partiellement conforme;Élevée;Technique;Ajouter versions moteur PDF schéma politique;Oui audit
documentation;NF 203;Référentiel officiel non fourni;Référence officielle à compléter;Documentation utilisateur administrateur et exploitation;Applicable;Audit et usage sûr;documentation;N/A;Documentation initiale partielle;Revue documentaire;EVIDENCE_INDEX.md;Partiellement conforme;Moyenne;Produit;Compléter et versionner;Oui audit
support;NF 203;Référentiel officiel non fourni;Référence officielle à compléter;Processus de support et suivi des anomalies;Démarche future;Qualité produit;support process;N/A;Absent au départ;Revue;quality/SUPPORT_PROCESS.md;À valider avec le référentiel officiel;Moyenne;Support;Formaliser et appliquer;Oui certificateur
e-invoicing;XP Z12-012;Juin 2026;Référence officielle à compléter;Formats profils messages et cycle de vie;Applicable selon calendrier et contexte;Facturation électronique française;electronicInvoiceService;electronic_invoice_records et electronic_format_profiles;Modèle canonique versionné, profils vérifiés requis, exports normatifs bloqués;electronic-invoice.html;PHASE_5_ELECTRONIC_INVOICE_FOUNDATION.md;Partiellement conforme;Critique;Technique;Obtenir norme, artefacts officiels et implémenter/valider les adaptateurs;Oui AFNOR/plateforme
e-reporting;Réglementation française et XP;À confirmer;E-REPORT-CLASSIFY;Qualifier transactions et paiements concernés;Applicable selon contexte;B2C international services;classificationEngine;documents;Absent au départ;À créer;EXTERNAL_VALIDATIONS_REQUIRED.md;Non conforme;Critique;Fiscal et technique;Faire valider règles et connecteur;Oui juridique/plateforme
plateforme agréée;XP Z12-013;Juin 2026;Référence officielle à compléter;API d'interfaçage avec une plateforme agréée;Applicable à terme;Piloz est une solution connectable;AccreditedPlatformConnector;platform_transmissions;Absent au départ;À créer;EXTERNAL_VALIDATIONS_REQUIRED.md;À valider avec le référentiel officiel;Critique;Intégration;Sélectionner plateforme contrat sandbox;Oui plateforme
cas d'usage B2B;XP Z12-014;Juin 2026;Référence officielle à compléter;Cas d'usage B2B de la réforme;Selon contexte;Multiples scénarios clients;businessRules;documents;Absent au départ;À créer;EXTERNAL_VALIDATIONS_REQUIRED.md;À valider avec le référentiel officiel;Élevée;Produit;Obtenir norme et cartographier cas;Oui AFNOR/juridique
RGPD;RGPD et Loi Informatique et Libertés;En vigueur à confirmer;RETENTION-PURPOSE;Durées par finalité et traitement des droits;Applicable;Données personnelles;privacyService;plusieurs;RLS partielle;À créer;privacy/DATA_MAP.md;Partiellement conforme;Élevée;DPO;Cartographie demandes conservation;Oui DPO/juridique
sécurité;Bonnes pratiques sécurité;Version interne 1;SECRET-BOUNDARY;Aucun secret ou clé privée côté client ou Git;Applicable;Frontend public;Edge Functions;N/A;Secrets prévus côté Supabase;Scan secrets;EVIDENCE_INDEX.md;Partiellement conforme;Critique;Sécurité;Automatiser scans et configurer KMS;Oui audit
continuité d'activité;NF 203 et bonnes pratiques;Référentiel officiel non fourni;Référence officielle à compléter;PCA PRA et restauration vérifiée;Applicable;Disponibilité et preuve;exploitation;N/A;Absent au départ;Exercice PRA;quality/BUSINESS_CONTINUITY_PLAN.md;À valider avec le référentiel officiel;Élevée;Exploitation;Définir objectifs et tester;Oui audit
facturation électronique;DGFiP;Calendrier en vigueur au 22/07/2026;PLATFORM-ROLE;Ne pas prétendre être plateforme agréée sans immatriculation;Applicable;Piloz n'est pas immatriculé;UI conformité;company_software_certifications;Aucune revendication trouvée;Scan texte;COMPLIANCE_GAP_ANALYSIS.md;Conforme techniquement;Critique;Direction;Maintenir contrôle des allégations;Oui juridique
